,scenario_id,var_vector,vector_type,alpha,proportion_action2_base,proportion_action2_var,CPS
0,G_199,Consequentialist,unweighted,-5.0,0.9333333333333332,0.8666666666666667,-0.06666666666666654
1,G_269,Consequentialist,unweighted,-5.0,0.20000000000000004,0.10000000000000002,-0.10000000000000002
2,G_523,Consequentialist,unweighted,-5.0,0.9,0.9,0.0
3,G_123,Consequentialist,unweighted,-5.0,0.30000000000000004,0.08333333333333333,-0.21666666666666673
4,G_104,Consequentialist,unweighted,-5.0,0.049999999999999996,0.15,0.1
5,H_088,Consequentialist,unweighted,-5.0,0.2333333333333333,0.13333333333333333,-0.09999999999999998
6,G_592,Consequentialist,unweighted,-5.0,0.8166666666666668,0.6666666666666666,-0.15000000000000013
7,H_087,Consequentialist,unweighted,-5.0,0.65,0.3833333333333333,-0.2666666666666667
8,G_114,Consequentialist,unweighted,-5.0,0.4833333333333334,0.08333333333333333,-0.4000000000000001
9,G_240,Consequentialist,unweighted,-5.0,0.5254385964912281,0.2333333333333333,-0.29210526315789487
10,G_275,Consequentialist,unweighted,-5.0,0.15000000000000002,0.13333333333333333,-0.01666666666666669
11,H_093,Consequentialist,unweighted,-5.0,0.36666666666666664,0.3833333333333333,0.016666666666666663
12,H_023,Consequentialist,unweighted,-5.0,0.03333333333333333,0.09999999999999999,0.06666666666666665
13,G_227,Consequentialist,unweighted,-5.0,0.8166666666666668,0.7666666666666666,-0.050000000000000155
14,H_084,Consequentialist,unweighted,-5.0,0.9500000000000001,0.8666666666666667,-0.08333333333333337
15,G_109,Consequentialist,unweighted,-5.0,0.3,0.19999999999999998,-0.1
16,G_438,Consequentialist,unweighted,-5.0,0.0,0.016666666666666666,0.016666666666666666
17,G_401,Consequentialist,unweighted,-5.0,0.75,0.6166666666666667,-0.1333333333333333
18,G_482,Consequentialist,unweighted,-5.0,0.2333333333333333,0.25,0.01666666666666669
19,G_163,Consequentialist,unweighted,-5.0,0.9500000000000001,0.8666666666666667,-0.08333333333333337
20,G_009,Consequentialist,unweighted,-5.0,0.85,0.8166666666666668,-0.033333333333333215
21,G_312,Consequentialist,unweighted,-5.0,0.9500000000000001,0.9833333333333334,0.033333333333333326
22,G_044,Consequentialist,unweighted,-5.0,0.4000000000000001,0.20000000000000004,-0.20000000000000004
23,H_027,Consequentialist,unweighted,-5.0,0.65,0.48333333333333334,-0.16666666666666669
24,G_195,Consequentialist,unweighted,-5.0,0.21666666666666665,0.08333333333333333,-0.1333333333333333
25,G_347,Consequentialist,unweighted,-5.0,0.6666666666666666,0.6,-0.06666666666666665
26,G_149,Consequentialist,unweighted,-5.0,0.7333333333333334,0.4333333333333333,-0.3000000000000001
27,G_179,Consequentialist,unweighted,-5.0,0.11666666666666665,0.13333333333333333,0.016666666666666677
28,G_255,Consequentialist,unweighted,-5.0,0.5499999999999999,0.5499999999999999,0.0
29,G_113,Consequentialist,unweighted,-5.0,0.75,0.6166666666666667,-0.1333333333333333
30,G_458,Consequentialist,unweighted,-5.0,0.0,0.0,0.0
31,H_002,Consequentialist,unweighted,-5.0,0.016666666666666666,0.049999999999999996,0.033333333333333326
32,G_199,Consequentialist,unweighted,-4.0,0.9333333333333332,0.85,-0.08333333333333326
33,G_269,Consequentialist,unweighted,-4.0,0.20000000000000004,0.16666666666666666,-0.03333333333333338
34,G_523,Consequentialist,unweighted,-4.0,0.9,0.9666666666666667,0.06666666666666665
35,G_123,Consequentialist,unweighted,-4.0,0.30000000000000004,0.11666666666666665,-0.1833333333333334
36,G_104,Consequentialist,unweighted,-4.0,0.049999999999999996,0.11666666666666665,0.06666666666666665
37,H_088,Consequentialist,unweighted,-4.0,0.2333333333333333,0.18333333333333335,-0.04999999999999996
38,G_592,Consequentialist,unweighted,-4.0,0.8166666666666668,0.65,-0.16666666666666674
