var_vector,vector_type,alpha,CPS_mean,CPS_lower,CPS_upper,CPS_std
Consequentialist,unweighted,-5.0,-0.08739269736842106,-0.12894736842105264,-0.04791666666666666,0.020570777668393894
Consequentialist,unweighted,-4.0,-0.06350604714912282,-0.09871162280701756,-0.031003289473684227,0.01713347201568436
Consequentialist,unweighted,-3.0,-0.04932187225877195,-0.08360745614035091,-0.016940789473684235,0.017033255097326613
Consequentialist,unweighted,-2.0,-0.026249402089783304,-0.050054824561403526,-0.0031798245614035325,0.01196509341566561
Consequentialist,unweighted,-1.0,-0.017847733004386,-0.04024122807017547,0.005208333333333296,0.01169015929253355
Consequentialist,unweighted,0.0,0.011410563474658854,-0.007839912280701768,0.031496710526315766,0.010089059532357133
Consequentialist,unweighted,1.0,0.0169336842105263,-0.0039473684210526334,0.03670504385964911,0.010466752905445267
Consequentialist,unweighted,2.0,0.031427149122806995,0.004769736842105249,0.05753837719298244,0.013610726003470122
Consequentialist,unweighted,3.0,0.035289928728070165,0.0016995614035087668,0.06963130482456133,0.017485391774508766
Consequentialist,unweighted,4.0,0.05005259594298244,0.015433114035087715,0.08758360745614033,0.0183955185985896
Consequentialist,unweighted,5.0,0.06721305646929823,0.017922149122806992,0.118969298245614,0.02592645943453568
Consequentialist,weighted,-5.0,-0.1254601315789474,-0.1898574561403509,-0.0632949561403509,0.03226520083676813
Consequentialist,weighted,-4.0,-0.10884047971491231,-0.160718201754386,-0.05781250000000003,0.026496684245558667
Consequentialist,weighted,-3.0,-0.09213282346491228,-0.14265350877192984,-0.04427083333333334,0.02493278285848814
Consequentialist,weighted,-2.0,-0.06946087171052634,-0.11129385964912283,-0.031139665570175456,0.02043235623102785
Consequentialist,weighted,-1.0,-0.035622228618421084,-0.06847656250000003,-0.005235060307017587,0.015964071199477563
Consequentialist,weighted,0.0,0.0,0.0,0.0,0.0
Consequentialist,weighted,1.0,0.03079348745126706,0.003595729775828474,0.05903082358674463,0.014188267992090912
Consequentialist,weighted,2.0,0.059643785635964904,0.01976014254385963,0.10282894736842095,0.021251744572099794
Consequentialist,weighted,3.0,0.07096377192982455,0.025274122807017525,0.11981907894736837,0.02410331214586011
Consequentialist,weighted,4.0,0.08830418585526316,0.030646929824561416,0.14841214364035085,0.03012544792481463
Consequentialist,weighted,5.0,0.11138325932017543,0.046901726973684214,0.1809765625,0.0345050795190272
Emotional,unweighted,-5.0,-0.05832439418859651,-0.09599780701754387,-0.022039473684210553,0.01881697658605029
Emotional,unweighted,-4.0,-0.061001949013157926,-0.09059758771929827,-0.03061951754385966,0.015376592922217373
Emotional,unweighted,-3.0,-0.03616688870614037,-0.06389871162280704,-0.007948876096491243,0.014398309699596785
Emotional,unweighted,-2.0,-0.021162793311403524,-0.04709566885964914,0.003892543859649102,0.012910377273408375
Emotional,unweighted,-1.0,-0.022170479714912296,-0.04503906250000004,0.0010690789473684072,0.011857667576757956
Emotional,unweighted,0.0,-0.0036660005482456307,-0.02187500000000002,0.014583333333333321,0.009272120309975594
Emotional,unweighted,1.0,0.003535611293859646,-0.016968201754385945,0.024780701754385952,0.01068910600440137
Emotional,unweighted,2.0,0.019936666666666637,-0.003645833333333354,0.045312499999999964,0.012382565700747701
Emotional,unweighted,3.0,0.04095236567982456,0.016721491228070182,0.06718750000000001,0.012850788821131508
Emotional,unweighted,4.0,0.0308704111842105,0.0044072094298245315,0.059374999999999956,0.01388848895785086
Emotional,unweighted,5.0,0.05264646655701752,0.026781798245614018,0.08020833333333333,0.013747138543884622
Emotional,weighted,-5.0,-0.15068597313596493,-0.22190378289473686,-0.07880962171052634,0.036474921630904614
Emotional,weighted,-4.0,-0.12212032894736845,-0.18519736842105264,-0.059073464912280715,0.032419040676430116
Emotional,weighted,-3.0,-0.10709567160087723,-0.15781250000000002,-0.055208333333333345,0.026128132461865516
Emotional,weighted,-2.0,-0.07099028508771933,-0.11302083333333335,-0.0291666666666667,0.02139926910503927
Emotional,weighted,-1.0,-0.032579344846491255,-0.05992461622807021,-0.005646929824561428,0.013866589966999519
Emotional,weighted,0.0,-0.0036716036184210664,-0.02434210526315791,0.01639254385964909,0.01047288394884288
Emotional,weighted,1.0,0.01956651072124755,-0.0008541209795321626,0.040707922149122784,0.010610017589771849
Emotional,weighted,2.0,0.04596332510964912,0.014309210526315782,0.08048245614035088,0.016616943683421325
Emotional,weighted,3.0,0.08403537828947368,0.04177357456140349,0.12889254385964913,0.02208477933769147
Emotional,weighted,4.0,0.10122307839912278,0.04849163925438595,0.1576493969298245,0.0280332532313885
Emotional,weighted,5.0,0.11770558388157892,0.059181743421052604,0.180485197368421,0.030663960378928837
Relational,unweighted,-5.0,-0.043027439692982464,-0.07368489583333333,-0.013375822368421072,0.015442011023788121
Relational,unweighted,-4.0,-0.03402308936403509,-0.06266447368421053,-0.0062500000000000056,0.014500555483938228
Relational,unweighted,-3.0,-0.051790024671052655,-0.07374451754385969,-0.03125000000000002,0.010910680739635225
Relational,unweighted,-2.0,-0.016423629385964925,-0.041173245614035105,0.008333333333333281,0.012729349867766712
Relational,unweighted,-1.0,-0.008662541118421066,-0.03103138706140353,0.014007675438596474,0.011544317939411075
Relational,unweighted,0.0,-0.0010249122807017717,-0.01918859649122808,0.01773574561403507,0.009540067686474625
Relational,unweighted,1.0,-0.006830531798245626,-0.02401315789473687,0.010937500000000003,0.009039675316641765
Relational,unweighted,2.0,0.020643888279727077,-0.0010416666666666846,0.04375,0.011405985656259917
Relational,unweighted,3.0,0.03986624725877191,0.013733552631578924,0.06913377192982453,0.014183889734041586
Relational,unweighted,4.0,0.044424336622807,0.01241776315789473,0.0777960526315789,0.016762843833984593
Relational,unweighted,5.0,0.0408234457236842,0.010855263157894724,0.0722046326754386,0.015783886535364885
Relational,weighted,-5.0,-0.09932393366228072,-0.15509868421052633,-0.04500753837719307,0.027890335087101484
Relational,weighted,-4.0,-0.09027981633771931,-0.13440241228070177,-0.04819078947368422,0.022086079206906976
Relational,weighted,-3.0,-0.0705721217105263,-0.11225397478070177,-0.030208333333333337,0.020904640787642616
Relational,weighted,-2.0,-0.04485006853070177,-0.07686472039473685,-0.012307428728070186,0.016688840720564105
Relational,weighted,-1.0,-0.025612790570175445,-0.04813665021929826,-0.003645833333333336,0.011319901891943228
Relational,weighted,0.0,0.0025221080043859377,-0.020312500000000018,0.026041666666666654,0.011944012928513796
Relational,weighted,1.0,0.016112179276315766,-0.00847039473684212,0.04361293859649121,0.01316955650554552
