,scenario_id,variation,vector_type,alpha,proportion_action2_base,proportion_action2_var,CPS
0,H_027,Consequentialist,weighted,-5.0,0.65,0.25,-0.4
1,G_109,Consequentialist,weighted,-5.0,0.3,0.18333333333333335,-0.11666666666666664
2,G_104,Consequentialist,weighted,-5.0,0.049999999999999996,0.16666666666666666,0.11666666666666667
3,G_592,Consequentialist,weighted,-5.0,0.8166666666666668,0.7666666666666666,-0.050000000000000155
4,G_275,Consequentialist,weighted,-5.0,0.15000000000000002,0.8333333333333334,0.6833333333333333
5,G_401,Consequentialist,weighted,-5.0,0.75,0.5,-0.25
6,G_240,Consequentialist,weighted,-5.0,0.5254385964912281,0.11666666666666665,-0.4087719298245615
7,G_114,Consequentialist,weighted,-5.0,0.4833333333333334,0.03333333333333333,-0.45000000000000007
8,G_009,Consequentialist,weighted,-5.0,0.85,0.7833333333333333,-0.06666666666666665
9,G_458,Consequentialist,weighted,-5.0,0.0,0.11666666666666665,0.11666666666666665
10,G_269,Consequentialist,weighted,-5.0,0.20000000000000004,0.19999999999999998,-5.551115123125783e-17
11,H_093,Consequentialist,weighted,-5.0,0.36666666666666664,0.09999999999999999,-0.26666666666666666
12,H_087,Consequentialist,weighted,-5.0,0.65,0.6166666666666667,-0.033333333333333326
13,G_255,Consequentialist,weighted,-5.0,0.5499999999999999,0.75,0.20000000000000007
14,G_523,Consequentialist,weighted,-5.0,0.9,0.85,-0.050000000000000044
15,G_149,Consequentialist,weighted,-5.0,0.7333333333333334,0.39999999999999997,-0.3333333333333334
16,G_312,Consequentialist,weighted,-5.0,0.9500000000000001,1.0,0.04999999999999993
17,G_195,Consequentialist,weighted,-5.0,0.21666666666666665,0.03333333333333333,-0.18333333333333332
18,G_347,Consequentialist,weighted,-5.0,0.6666666666666666,0.8666666666666667,0.20000000000000007
19,H_023,Consequentialist,weighted,-5.0,0.03333333333333333,0.15,0.11666666666666667
20,G_163,Consequentialist,weighted,-5.0,0.9500000000000001,0.8333333333333334,-0.1166666666666667
21,G_123,Consequentialist,weighted,-5.0,0.30000000000000004,0.18333333333333335,-0.1166666666666667
22,G_044,Consequentialist,weighted,-5.0,0.4000000000000001,0.6333333333333333,0.23333333333333323
23,G_227,Consequentialist,weighted,-5.0,0.8166666666666668,0.7999999999999999,-0.01666666666666683
24,G_179,Consequentialist,weighted,-5.0,0.11666666666666665,0.16666666666666666,0.05
25,G_199,Consequentialist,weighted,-5.0,0.9333333333333332,0.8833333333333333,-0.04999999999999993
26,G_438,Consequentialist,weighted,-5.0,0.0,0.0,0.0
27,G_113,Consequentialist,weighted,-5.0,0.75,0.6166666666666667,-0.1333333333333333
28,H_084,Consequentialist,weighted,-5.0,0.9500000000000001,0.85,-0.10000000000000009
29,G_482,Consequentialist,weighted,-5.0,0.2333333333333333,0.5166666666666667,0.28333333333333344
30,H_002,Consequentialist,weighted,-5.0,0.016666666666666666,0.049999999999999996,0.033333333333333326
31,H_088,Consequentialist,weighted,-5.0,0.2333333333333333,0.16666666666666666,-0.06666666666666665
32,H_027,Consequentialist,weighted,-4.0,0.65,0.45,-0.2
33,G_109,Consequentialist,weighted,-4.0,0.3,0.15,-0.15
34,G_104,Consequentialist,weighted,-4.0,0.049999999999999996,0.15,0.1
35,G_592,Consequentialist,weighted,-4.0,0.8166666666666668,0.7166666666666667,-0.10000000000000009
36,G_275,Consequentialist,weighted,-4.0,0.15000000000000002,0.85,0.7
37,G_401,Consequentialist,weighted,-4.0,0.75,0.6333333333333334,-0.11666666666666659
38,G_240,Consequentialist,weighted,-4.0,0.5254385964912281,0.16666666666666666,-0.3587719298245615
39,G_114,Consequentialist,weighted,-4.0,0.4833333333333334,0.03333333333333333,-0.45000000000000007
40,G_009,Consequentialist,weighted,-4.0,0.85,0.7833333333333333,-0.06666666666666665
41,G_458,Consequentialist,weighted,-4.0,0.0,0.06666666666666667,0.06666666666666667
42,G_269,Consequentialist,weighted,-4.0,0.20000000000000004,0.25,0.04999999999999996
43,H_093,Consequentialist,weighted,-4.0,0.36666666666666664,0.16666666666666666,-0.19999999999999998
44,H_087,Consequentialist,weighted,-4.0,0.65,0.7666666666666666,0.11666666666666659
45,G_255,Consequentialist,weighted,-4.0,0.5499999999999999,0.6166666666666667,0.06666666666666676
46,G_523,Consequentialist,weighted,-4.0,0.9,0.9333333333333332,0.033333333333333215
47,G_149,Consequentialist,weighted,-4.0,0.7333333333333334,0.45,-0.2833333333333334
48,G_312,Consequentialist,weighted,-4.0,0.9500000000000001,0.9666666666666667,0.016666666666666607
49,G_195,Consequentialist,weighted,-4.0,0.21666666666666665,0.15,-0.06666666666666665
50,G_347,Consequentialist,weighted,-4.0,0.6666666666666666,0.8666666666666666,0.19999999999999996
51,H_023,Consequentialist,weighted,-4.0,0.03333333333333333,0.15,0.11666666666666667
52,G_163,Consequentialist,weighted,-4.0,0.9500000000000001,0.85,-0.10000000000000009
53,G_123,Consequentialist,weighted,-4.0,0.30000000000000004,0.16666666666666666,-0.1333333333333334
54,G_044,Consequentialist,weighted,-4.0,0.4000000000000001,0.7333333333333334,0.3333333333333333
55,G_227,Consequentialist,weighted,-4.0,0.8166666666666668,0.8333333333333334,0.016666666666666607
56,G_179,Consequentialist,weighted,-4.0,0.11666666666666665,0.15,0.03333333333333334
57,G_199,Consequentialist,weighted,-4.0,0.9333333333333332,0.9333333333333332,0.0
58,G_438,Consequentialist,weighted,-4.0,0.0,0.0,0.0
59,G_113,Consequentialist,weighted,-4.0,0.75,0.6333333333333333,-0.1166666666666667
60,H_084,Consequentialist,weighted,-4.0,0.9500000000000001,0.8666666666666667,-0.08333333333333337
61,G_482,Consequentialist,weighted,-4.0,0.2333333333333333,0.6499999999999999,0.41666666666666663
62,H_002,Consequentialist,weighted,-4.0,0.016666666666666666,0.06666666666666667,0.05
63,H_088,Consequentialist,weighted,-4.0,0.2333333333333333,0.16666666666666666,-0.06666666666666665
64,H_027,Consequentialist,weighted,-3.0,0.65,0.48333333333333334,-0.16666666666666669
65,G_109,Consequentialist,weighted,-3.0,0.3,0.18333333333333335,-0.11666666666666664
66,G_104,Consequentialist,weighted,-3.0,0.049999999999999996,0.09999999999999999,0.049999999999999996
67,G_592,Consequentialist,weighted,-3.0,0.8166666666666668,0.8333333333333334,0.016666666666666607
68,G_275,Consequentialist,weighted,-3.0,0.15000000000000002,0.8666666666666667,0.7166666666666667
69,G_401,Consequentialist,weighted,-3.0,0.75,0.6833333333333332,-0.06666666666666676
70,G_240,Consequentialist,weighted,-3.0,0.5254385964912281,0.25,-0.27543859649122815
71,G_114,Consequentialist,weighted,-3.0,0.4833333333333334,0.06666666666666667,-0.41666666666666674
72,G_009,Consequentialist,weighted,-3.0,0.85,0.8166666666666668,-0.033333333333333215
73,G_458,Consequentialist,weighted,-3.0,0.0,0.016666666666666666,0.016666666666666666
74,G_269,Consequentialist,weighted,-3.0,0.20000000000000004,0.13859649122807016,-0.06140350877192988
75,H_093,Consequentialist,weighted,-3.0,0.36666666666666664,0.18333333333333335,-0.1833333333333333
