variation,vector_type,alpha,CPS_mean,CPS_lower,CPS_upper,CPS_std
Consequentialist,weighted,-5.0,-0.035698097587719316,-0.11148574561403511,0.042187499999999975,0.03917750668067586
Consequentialist,weighted,-4.0,-0.005630882675438622,-0.07659608004385966,0.07316337719298244,0.03792672757815011
Consequentialist,weighted,-3.0,0.007793867872807004,-0.05690789473684213,0.08193530701754385,0.035524559609903056
Consequentialist,weighted,-2.0,0.0562997231359649,-0.004084429824561427,0.1245655153508771,0.033105678782311215
Consequentialist,weighted,-1.0,0.07911339638157895,0.023437500000000003,0.14243421052631577,0.030021271723440882
Consequentialist,weighted,0.0,0.10072485745614033,0.04051535087719298,0.16814692982456136,0.03244406745179408
Consequentialist,weighted,1.0,0.129443632127193,0.07094298245614034,0.193859649122807,0.031391557501682044
Consequentialist,weighted,2.0,0.14151497081398348,0.08207349716202268,0.20520833333333333,0.031494651256677525
Consequentialist,weighted,3.0,0.15299924342105262,0.08854166666666667,0.21998355263157893,0.03354910035461154
Consequentialist,weighted,4.0,0.1686011129385965,0.09986293859649123,0.2447923519736842,0.037021616300895996
Consequentialist,weighted,5.0,0.1793757995248538,0.10791453460038987,0.2514408199317739,0.03654699609269176
Consequentialist,unweighted,-5.0,0.026279772478070153,-0.03333333333333335,0.09374999999999997,0.03273837245269123
Consequentialist,unweighted,-4.0,0.05873197642543857,-0.00027412280701756206,0.12447916666666664,0.03185490737741754
Consequentialist,unweighted,-3.0,0.07115284539473682,0.014583333333333306,0.1359375,0.03098535449653248
Consequentialist,unweighted,-2.0,0.0849056140350877,0.029934210526315813,0.14816954495614026,0.030346291366343446
Consequentialist,unweighted,-1.0,0.09216580043859647,0.03851356907894734,0.15572916666666664,0.030020355564104134
Consequentialist,unweighted,0.0,0.09694746436403509,0.04083881578947368,0.16041666666666668,0.030511841056420266
Consequentialist,unweighted,1.0,0.1183870120614035,0.065844298245614,0.1775774396929824,0.02871748395797945
Consequentialist,unweighted,2.0,0.12250699287280699,0.06454975328947367,0.18854714912280693,0.03185458928515911
Consequentialist,unweighted,3.0,0.149265,0.08747258771929825,0.21611842105263157,0.03328263987539459
Consequentialist,unweighted,4.0,0.1399796147051657,0.07927060489766082,0.20672819200779727,0.03278039510451473
Consequentialist,unweighted,5.0,0.14609596559758775,0.08692434210526317,0.20896672834429822,0.031195481177051204
Relational,weighted,-5.0,-0.03704219237329436,-0.08484100877192984,0.015161047149122754,0.025360623113193554
