model_id,variation,mean_cps,std_cps,n,t_stat,p_value,cohen_d,flip_rate,positive_shift_rate,negative_shift_rate,zero_shift_rate,average_positive_shift,average_negative_shift,wilcoxon_stat,wilcoxon_p_value,ci_lower,ci_upper,ci_mean,ci_std,boundary_mass,family,color
deepseek_deepseek-llm-7b-chat,Relational,0.011871420676469907,0.10983673039399877,178,1.4419994664921183,0.07553478679087255,0.10808242956509687,0.15730337078651685,0.5280898876404494,0.46629213483146065,0.0056179775280898875,0.09119775481016505,-0.07782501291257678,8526.0,0.17069463473330831,-0.004532850665360141,0.027905090874726847,0.011803164997905412,0.008264247281514418,0.2247191011235955,DeepSeek,gray
qwen_qwen3-8b,Relational,0.061413364872856306,0.15575071547878405,178,5.260691616488119,2.0553308091891774e-07,0.3943055072592708,0.10112359550561797,0.5280898876404494,0.1853932584269663,0.28651685393258425,0.15514184397163122,-0.11065922381711854,6320.0,2.8330737242850367e-08,0.03904469741770155,0.08454230731322686,0.06147442391090085,0.011610089553324874,0.06179775280898876,Qwen,gray
qwen_qwen3-4b-instruct,Relational,0.05239432851792402,0.1644863920365077,178,4.249759030500636,1.727806854052053e-05,0.3185329063956556,0.09550561797752809,0.28651685393258425,0.11797752808988764,0.5955056179775281,0.22777777777777777,-0.10907029478458047,2146.0,1.510487927509069e-06,0.028477795612627078,0.07748796147672551,0.05232370117710006,0.012284795584516615,0.056179775280898875,Qwen,gray
qwen_qwen2-7b-instruct,Relational,0.03819239109008476,0.14984091009275324,178,3.400607026573886,0.00041551478836940954,0.2548862728239119,0.09550561797752809,0.5112359550561798,0.25280898876404495,0.23595505617977527,0.12088876036244457,-0.09339181286549708,6534.5,2.281918502067413e-05,0.01617755765819042,0.06121624285432683,0.03826267346737631,0.01128326891914673,0.07303370786516854,Qwen,gray
qwen_qwen1.5-7b-chat,Relational,0.025488089808497157,0.12747250411338873,178,2.667661816377031,0.004173510858184244,0.19994970668988438,0.15730337078651685,0.5337078651685393,0.30337078651685395,0.16292134831460675,0.10209553165679941,-0.09559621336080461,7365.0,0.00037750414744821295,0.006809434727304422,0.04460971315640389,0.025582438467239187,0.0094852875580522,0.25280898876404495,Qwen,gray
teknium_openhermes-2.5-mistral-7b,Relational,0.06284130775642933,0.16893886161091634,178,4.962787184914244,8.119555386399594e-07,0.37197662608357906,0.14606741573033707,0.6067415730337079,0.34269662921348315,0.05056179775280899,0.15060719761155486,-0.08327581248202477,10477.5,1.1549837806273074e-07,0.039182340604945576,0.08822315194886679,0.06303489425305572,0.012477596485844372,0.15168539325842698,Mistral,gray
mistral_mixtral-8x7b-instruct_8bit,Relational,0.091385539974958,0.21257215733578738,178,5.735629679566763,2.0631470280520906e-08,0.4299036201180468,0.12359550561797752,0.3595505617977528,0.10112359550561797,0.5393258426966292,0.2994293289305867,-0.1609361631119457,2901.5,1.4373680603134913e-08,0.06106341828709055,0.12326203070676404,0.09132430389393974,0.015671343217137684,0.06741573033707865,Mistral,gray
mistral_mistral-7b-instruct-v0.1,Relational,0.013285251520110808,0.08819928185282189,178,2.009623650728979,0.022995019630262955,0.15062766091769209,0.07303370786516854,0.5224719101123596,0.47191011235955055,0.0056179775280898875,0.07844820025859675,-0.05870128396987827,8987.0,0.05189785543209894,0.0005580348436885614,0.02615587507738754,0.013203489504908999,0.006550147726847105,0.25280898876404495,Mistral,gray
huggingfaceh4_zephyr-7b-beta,Relational,0.0400209765397872,0.14954141606530055,178,3.570558836215397,0.00022939194658082199,0.2676246995167624,0.14606741573033707,0.5449438202247191,0.3651685393258427,0.0898876404494382,0.129624850645166,-0.08384425674613814,8766.0,0.00014747744950811378,0.01893716677490854,0.062028022852826305,0.040201016923232996,0.011059665320524992,0.1348314606741573,Mistral,gray
meta_llama-3.1-8B-instruct,Relational,0.06458921961583108,0.1269056045317955,178,6.790304285281554,8.162382190213427e-11,0.5089548239742919,0.08426966292134831,0.6966292134831461,0.20224719101123595,0.10112359550561797,0.11119757278500914,-0.06365605371453324,10478.0,2.993163350897827e-12,0.04680666436690979,0.08353556135970389,0.0646435972578137,0.009413482463212384,0.12359550561797752,Llama,gray
meta_llama-3.1-70b-instruct,Relational,0.08384075704317817,0.1704725044716461,178,6.561616600981917,2.836306920132204e-10,0.49181395734772587,0.09550561797752809,0.6797752808988764,0.19662921348314608,0.12359550561797752,0.1412640153000412,-0.06197974564626488,10135.0,6.258345683147969e-13,0.05994520230945988,0.11018729385252957,0.0838153393761972,0.012848555833489851,0.05056179775280899,Llama,gray
meta_llama-3-8B-instruct,Relational,0.06081833149766326,0.1412076419223555,178,5.746273620436655,1.956687541571499e-08,0.43070141721582506,0.12921348314606743,0.5842696629213483,0.2752808988764045,0.1404494382022472,0.13839200259367263,-0.07279806659505908,9177.5,1.064663923668167e-09,0.040225927875894615,0.08168436801715927,0.06065163051384518,0.010618031875722729,0.16292134831460675,Llama,gray
meta_llama-2-7b-chat,Relational,0.022137797892659267,0.1650367203478352,178,1.7896324041151972,0.03761134188333884,0.13413861985381878,0.19662921348314608,0.550561797752809,0.38764044943820225,0.06179775280898876,0.12752871718760705,-0.12401864144191506,8310.5,0.019139606007818107,-0.0018277742381779345,0.04654982031500665,0.022178741086118073,0.012226478212437648,0.3089887640449438,Llama,gray
deepseek-ai_DeepSeek-V3,Relational,0.08085452395032525,0.21249666063938547,178,5.076474582538248,4.837539364942252e-07,0.3804978567994454,0.15168539325842698,0.43820224719101125,0.15168539325842698,0.4101123595505618,0.22660818713450295,-0.12160493827160491,4422.5,7.88745887122749e-08,0.04976825842696629,0.11339456436033908,0.08114907401931797,0.016157741949395357,0.056179775280898875,DeepSeek,gray
deepseek-ai_DeepSeek-V3.1,Relational,0.09768272115995356,0.18614851795475565,178,7.001130414063179,2.5362632615319716e-11,0.524756910413307,0.14606741573033707,0.7078651685393258,0.19101123595505617,0.10112359550561797,0.16310761471580185,-0.09305985552115584,10699.0,1.9855335971094624e-13,0.07163696147359659,0.12622033587401713,0.09787454119850188,0.013885566980311511,0.06179775280898876,DeepSeek,gray
claude_claude-sonnet-4-5-20250929,Relational,0.050840133047406845,0.18022190077279837,178,3.763648997072208,0.0001137821647235714,0.2820974189563112,0.09550561797752809,0.29775280898876405,0.14606741573033707,0.5561797752808989,0.23817260656883293,-0.13744632560422032,2334.0,0.00011194028681782297,0.0254734633379579,0.07768213367761799,0.05076950904050058,0.013377738463140852,0.0449438202247191,Claude,gray
claude_claude-haiku-4-5-20251001,Relational,0.040303526224448404,0.1540726412856246,178,3.4900168063547503,0.00030481009325575325,0.26158781914910184,0.06741573033707865,0.39325842696629215,0.17415730337078653,0.43258426966292135,0.15691687127556211,-0.12290817165604943,3773.5,2.4673301549370715e-05,0.018264663689784136,0.06276280296561217,0.04028720754676576,0.011437195102717136,0.033707865168539325,Claude,gray
claude_claude-3-haiku-20240307,Relational,0.08202247191011237,0.14459773234825693,178,7.568004339780018,9.9983344718985e-13,0.5672459075123326,0.12359550561797752,0.5955056179775281,0.15730337078651685,0.24719101123595505,0.15943396226415096,-0.08214285714285711,7747.5,3.959707698997152e-13,0.06170411985018726,0.10402621722846442,0.08227073033707866,0.010733354102445037,0.12921348314606743,Claude,gray
openai_gpt-5.1,Relational,0.04260299625468165,0.1520519732765309,178,3.7381617081777536,0.0001250123210504139,0.28018706588701264,0.06741573033707865,0.38764044943820225,0.1404494382022472,0.47191011235955055,0.1478260869565218,-0.10466666666666667,3359.5,1.0630701220115863e-05,0.021067415730337075,0.0652621722846442,0.0424162734082397,0.011416153553878428,0.0449438202247191,GPT,gray
openai_gpt-4o-mini,Relational,0.09728464419475658,0.22284848881163433,178,5.82431161353578,1.3243657907261449e-08,0.4365506120931685,0.12359550561797752,0.449438202247191,0.11797752808988764,0.43258426966292135,0.24583333333333335,-0.11190476190476188,4330.5,1.3762543510891572e-09,0.06544709737827716,0.13108848314606739,0.09712177902621723,0.016688395256064286,0.06179775280898876,GPT,gray
openai_gpt-4.1,Relational,0.10162878164604432,0.21587942125381593,178,6.280807388184548,1.2660054984061006e-09,0.47076641699236493,0.11797752808988764,0.42696629213483145,0.1348314606741573,0.43820224719101125,0.26630726659700504,-0.08955954701568736,4292.0,6.166547643399414e-10,0.07094917861109225,0.13448079031205096,0.10175500223959419,0.016223102697108135,0.05056179775280899,GPT,gray
openai_gpt-4.1-mini,Relational,0.04475655430711611,0.16432623198574042,178,3.633789353152003,0.00018288786694794566,0.27236402713231994,0.08426966292134831,0.398876404494382,0.19101123595505617,0.4101123595505618,0.1610328638497653,-0.10196078431372546,3984.5,6.071380561241323e-05,0.02153323970037454,0.06938202247191012,0.04460735955056181,0.012298880457858742,0.056179775280898875,GPT,gray
deepseek_deepseek-llm-7b-chat,Emotional,0.03033074150373474,0.11469882525918823,138,3.1064445155965545,0.0011510870124539717,0.26443811813412643,0.15942028985507245,0.6014492753623188,0.39855072463768115,0.0,0.09949371869063017,-0.07404247861467111,6295.5,0.0007164484523172502,0.011697055871791998,0.04905980156935731,0.030321904676190586,0.009599543761640208,0.26811594202898553,DeepSeek,gray
qwen_qwen3-8b,Emotional,0.07294685990338164,0.15967326353843175,138,5.366781860075686,1.6651651468513215e-07,0.4568508107547013,0.11594202898550725,0.5289855072463768,0.17391304347826086,0.2971014492753623,0.17009132420091322,-0.09791666666666667,3781.5,2.1381643874577721e-07,0.04746376811594202,0.10048611111111107,0.07300944444444445,0.013578197320833445,0.08695652173913043,Qwen,gray
