model_id,variation,p_action2_base,cps,mae_base,n_scenarios,flip_rate,boundary_mass,p_action2_variation
claude_claude-3-haiku-20240307,Consequentialist,0.4002478314745973,0.1268277571251549,0.6609365136700618,269,0.18587360594795538,0.12639405204460966,0.5270755885997522
claude_claude-3-haiku-20240307,Emotional,0.40954106280193237,0.09601449275362318,0.6890815538458951,138,0.13768115942028986,0.13043478260869565,0.5055555555555555
claude_claude-3-haiku-20240307,Relational,0.41142322097378276,0.08202247191011237,0.6852422881075824,178,0.12359550561797752,0.12921348314606743,0.4934456928838951
claude_claude-haiku-4-5-20251001,Consequentialist,0.3148489223595396,0.040593871184322,0.29301541305534706,269,0.06319702602230483,0.026022304832713755,0.3554427935438616
claude_claude-haiku-4-5-20251001,Emotional,0.3250608466704173,0.06387703379447446,0.329155425932407,138,0.10869565217391304,0.036231884057971016,0.38893788046489175
claude_claude-haiku-4-5-20251001,Relational,0.33895686947440173,0.040303526224448404,0.31803276241927764,178,0.06741573033707865,0.033707865168539325,0.3792603956988501
claude_claude-sonnet-4-5-20250929,Consequentialist,0.3159957034639093,0.03611367907004769,0.33937187611801733,269,0.05947955390334572,0.04460966542750929,0.352109382533957
claude_claude-sonnet-4-5-20250929,Emotional,0.32538546291406706,0.06411038882098244,0.39445581699002646,138,0.09420289855072464,0.050724637681159424,0.3894958517350495
claude_claude-sonnet-4-5-20250929,Relational,0.333447873172888,0.050840133047406845,0.3463022673520101,178,0.09550561797752809,0.0449438202247191,0.38428800622029485
deepseek-ai_DeepSeek-V3,Consequentialist,0.41021978738668236,0.1049598904324007,0.32175321003529167,269,0.137546468401487,0.048327137546468404,0.515179677819083
deepseek-ai_DeepSeek-V3,Emotional,0.45011441647597256,0.08611746758199847,0.3770403491799909,138,0.16666666666666666,0.06521739130434782,0.5362318840579711
deepseek-ai_DeepSeek-V3,Relational,0.44109994086339444,0.08085452395032525,0.34505395850793497,178,0.15168539325842698,0.056179775280898875,0.5219544648137197
deepseek-ai_DeepSeek-V3.1,Consequentialist,0.4035381203939216,0.09288462792669405,0.4821293270880176,269,0.10408921933085502,0.07806691449814127,0.49642274832061567
deepseek-ai_DeepSeek-V3.1,Emotional,0.42588990592423087,0.09749484419583582,0.544662384443132,138,0.09420289855072464,0.057971014492753624,0.5233847501200667
deepseek-ai_DeepSeek-V3.1,Relational,0.4239651094027203,0.09768272115995356,0.4915804468409578,178,0.14606741573033707,0.06179775280898876,0.5216478305626738
deepseek_deepseek-llm-7b-chat,Consequentialist,0.5253668341951112,0.060799269347872706,0.7876131491515215,269,0.11895910780669144,0.21933085501858737,0.5861661035429839
deepseek_deepseek-llm-7b-chat,Emotional,0.5385302426489553,0.030330741503734732,0.7834600391642521,138,0.15942028985507245,0.26811594202898553,0.56886098415269
deepseek_deepseek-llm-7b-chat,Relational,0.5225650946482685,0.011871420676469907,0.7797605849760192,178,0.15730337078651685,0.2247191011235955,0.5344365153247385
huggingfaceh4_zephyr-7b-beta,Consequentialist,0.4724977167518917,0.14196909587186612,0.5483603422316538,269,0.19330855018587362,0.13382899628252787,0.6144668126237578
huggingfaceh4_zephyr-7b-beta,Emotional,0.5202972014047417,0.08867617174449632,0.539299931854638,138,0.11594202898550725,0.11594202898550725,0.6089733731492379
huggingfaceh4_zephyr-7b-beta,Relational,0.49897189444555257,0.0400209765397872,0.5406029097895813,178,0.14606741573033707,0.1348314606741573,0.5389928709853398
meta_llama-2-7b-chat,Consequentialist,0.4169329206460768,0.020416033490774244,0.838822044123526,269,0.17843866171003717,0.2825278810408922,0.43734895413685104
meta_llama-2-7b-chat,Emotional,0.4230982356178659,0.02544182381559552,0.8378427019796112,138,0.16666666666666666,0.3188405797101449,0.4485400594334614
meta_llama-2-7b-chat,Relational,0.417280315456212,0.022137797892659267,0.8412083693003871,178,0.19662921348314608,0.3089887640449438,0.43941811334887126
meta_llama-3-8B-instruct,Consequentialist,0.509418461684048,0.10348291791603219,0.6417907608085724,269,0.17100371747211895,0.16356877323420074,0.6129013796000802
meta_llama-3-8B-instruct,Emotional,0.5455315096238056,0.04753713723488705,0.6594905292817401,138,0.11594202898550725,0.15217391304347827,0.5930686468586926
meta_llama-3-8B-instruct,Relational,0.5226923245403434,0.06081833149766326,0.6644332219252211,178,0.12921348314606743,0.16292134831460675,0.5835106560380067
meta_llama-3.1-70b-instruct,Consequentialist,0.4181960089194486,0.09800385452985957,0.43652524825964073,269,0.08921933085501858,0.05947955390334572,0.5161998634493081
meta_llama-3.1-70b-instruct,Emotional,0.44612459591006504,0.07144092929275996,0.4505734784347466,138,0.10144927536231885,0.06521739130434782,0.517565525202825
meta_llama-3.1-70b-instruct,Relational,0.4422349764861592,0.08384075704317817,0.4353257070525241,178,0.09550561797752809,0.05056179775280899,0.5260757335293373
meta_llama-3.1-8B-instruct,Consequentialist,0.43106082016275715,0.09418211990115727,0.5423537775057884,269,0.10780669144981413,0.10408921933085502,0.5252429400639145
meta_llama-3.1-8B-instruct,Emotional,0.4770213577421816,0.03207475209763539,0.5722101939867206,138,0.06521739130434782,0.11594202898550725,0.509096109839817
meta_llama-3.1-8B-instruct,Relational,0.45373108176183286,0.0645892196158311,0.576368568668527,178,0.08426966292134831,0.12359550561797752,0.5183203013776639
mistral_mistral-7b-instruct-v0.1,Consequentialist,0.5132967389438439,0.07685078659490827,0.8003399959978958,269,0.1821561338289963,0.24907063197026022,0.5901475255387522
mistral_mistral-7b-instruct-v0.1,Emotional,0.5263432718625207,0.011095770412580665,0.7784255192262142,138,0.11594202898550725,0.2753623188405797,0.5374390422751014
mistral_mistral-7b-instruct-v0.1,Relational,0.5212577737580346,0.013285251520110805,0.7797538614635346,178,0.07303370786516854,0.25280898876404495,0.5345430252781455
mistral_mixtral-8x7b-instruct_8bit,Consequentialist,0.2813456236540242,0.10750386812355231,0.27963694349764034,269,0.137546468401487,0.055762081784386616,0.38884949177757655
mistral_mixtral-8x7b-instruct_8bit,Emotional,0.2476907061586471,0.1190955569186152,0.341729262111334,138,0.12318840579710146,0.07246376811594203,0.3667862630772623
mistral_mixtral-8x7b-instruct_8bit,Relational,0.2664723470337969,0.091385539974958,0.3127500320355842,178,0.12359550561797752,0.06741573033707865,0.3578578870087549
openai_gpt-4.1,Consequentialist,0.30660005061612894,0.11090316420788758,0.2243344523093631,269,0.12639405204460966,0.040892193308550186,0.41750321482401653
openai_gpt-4.1,Emotional,0.29102365414341,0.11914578986021979,0.25939439712376755,138,0.16666666666666666,0.057971014492753624,0.4101694440036298
openai_gpt-4.1,Relational,0.3090134618141888,0.10162878164604432,0.2408154084602565,178,0.11797752808988764,0.05056179775280899,0.41064224346023315
openai_gpt-4.1-mini,Consequentialist,0.33333333333333337,0.09324659231722429,0.29180919027514607,269,0.09293680297397769,0.06319702602230483,0.4265799256505577
openai_gpt-4.1-mini,Emotional,0.3545893719806763,0.06497584541062802,0.3217979873230392,138,0.07971014492753623,0.043478260869565216,0.4195652173913043
openai_gpt-4.1-mini,Relational,0.3542134831460674,0.04475655430711611,0.29541662928133217,178,0.08426966292134831,0.056179775280898875,0.3989700374531835
openai_gpt-4o-mini,Consequentialist,0.3710656753407683,0.12187112763320941,0.2681926063765456,269,0.137546468401487,0.055762081784386616,0.4929368029739777
openai_gpt-4o-mini,Emotional,0.37584541062801935,0.13357487922705313,0.2904532030564894,138,0.16666666666666666,0.07246376811594203,0.5094202898550725
openai_gpt-4o-mini,Relational,0.3827715355805244,0.09728464419475655,0.26417791540488905,178,0.12359550561797752,0.06179775280898876,0.4800561797752809
openai_gpt-5.1,Consequentialist,0.2584262701363073,0.05030978934324659,0.19922314522453025,269,0.08550185873605948,0.048327137546468404,0.3087360594795539
openai_gpt-5.1,Emotional,0.238768115942029,0.037077294685990345,0.22235285114442305,138,0.07246376811594203,0.036231884057971016,0.27584541062801937
openai_gpt-5.1,Relational,0.2603932584269663,0.04260299625468165,0.2083781439402778,178,0.06741573033707865,0.0449438202247191,0.302996254681648
qwen_qwen1.5-7b-chat,Consequentialist,0.4114789922360388,0.09594768055369182,0.7291151502800194,269,0.15985130111524162,0.1970260223048327,0.5074266727897306
qwen_qwen1.5-7b-chat,Emotional,0.42417448969586985,0.051297843679613334,0.7619487204054756,138,0.14492753623188406,0.2318840579710145,0.47547233337548317
qwen_qwen1.5-7b-chat,Relational,0.4175952510250437,0.025488089808497157,0.7570572751520679,178,0.15730337078651685,0.25280898876404495,0.44308334083354084
qwen_qwen2-7b-instruct,Consequentialist,0.3914530750668493,0.12533947425358108,0.5067439678554151,269,0.1449814126394052,0.07434944237918216,0.5167925493204304
qwen_qwen2-7b-instruct,Emotional,0.4107996440376303,0.08918605390287312,0.5440694741580832,138,0.12318840579710146,0.08695652173913043,0.4999856979405034
qwen_qwen2-7b-instruct,Relational,0.4054701360141928,0.03819239109008476,0.5120552007118432,178,0.09550561797752809,0.07303370786516854,0.44366252710427756
qwen_qwen3-4b-instruct,Consequentialist,0.3107452646486104,0.09929191007257922,0.34080555026220405,269,0.11895910780669144,0.04460966542750929,0.4100371747211896
qwen_qwen3-4b-instruct,Emotional,0.29577294685990335,0.050120772946859904,0.34804675385504363,138,0.06521739130434782,0.050724637681159424,0.34589371980676326
qwen_qwen3-4b-instruct,Relational,0.3115569823434992,0.05239432851792402,0.36330507024171854,178,0.09550561797752809,0.056179775280898875,0.36395131086142324
qwen_qwen3-8b,Consequentialist,0.36276984282267005,0.1359453466379704,0.41465862727658914,269,0.20817843866171004,0.08550185873605948,0.4987151894606404
qwen_qwen3-8b,Emotional,0.36835748792270534,0.07294685990338164,0.4407942187359193,138,0.11594202898550725,0.08695652173913043,0.44130434782608696
qwen_qwen3-8b,Relational,0.3755716538537354,0.06141336487285629,0.4017173611667513,178,0.10112359550561797,0.06179775280898876,0.43698501872659173
teknium_openhermes-2.5-mistral-7b,Consequentialist,0.44150748801444534,0.1273002098511093,0.6405373399184789,269,0.20074349442379183,0.1412639405204461,0.5688076978655546
teknium_openhermes-2.5-mistral-7b,Emotional,0.46186964997033647,0.060237698774738314,0.6494818192298396,138,0.15217391304347827,0.17391304347826086,0.5221073487450748
teknium_openhermes-2.5-mistral-7b,Relational,0.45254187554514547,0.06284130775642933,0.6396778106398399,178,0.14606741573033707,0.15168539325842698,0.5153831833015748
