model_id,action1_count,action2_count,refusal_count,invalid_count,action1_proportion,action2_proportion,refusal_proportion,invalid_proportion
openai_gpt-4.1-mini,32637,20583,0,0,0.6132,0.3868,0.0,0.0
openai_gpt-4.1,32684,19691,64,781,0.6141,0.37,0.0012,0.0147
openai_gpt-4o-mini,29244,23976,0,0,0.5495,0.4505,0.0,0.0
openai_gpt-5.1,38097,15123,0,0,0.7158,0.2842,0.0,0.0
claude_claude-3-haiku-20240307,28002,25215,0,3,0.5262,0.4738,0.0,0.0001
claude_claude-haiku-4-5-20251001,34117,18316,576,211,0.6411,0.3442,0.0108,0.004
claude_claude-sonnet-4-5-20250929,34422,18467,312,19,0.6468,0.347,0.0059,0.0004
deepseek-ai_DeepSeek-V3.1,28134,25030,4,52,0.5286,0.4703,0.0001,0.001
deepseek-ai_DeepSeek-V3,27698,25511,1,10,0.5204,0.4793,0.0,0.0002
meta_llama-2-7b-chat,16970,15439,18154,2657,0.3189,0.2901,0.3411,0.0499
meta_llama-3-8B-instruct,22644,29622,798,156,0.4255,0.5566,0.015,0.0029
meta_llama-3.1-70b-instruct,27282,25286,605,47,0.5126,0.4751,0.0114,0.0009
meta_llama-3.1-8B-instruct,27235,25934,7,44,0.5117,0.4873,0.0001,0.0008
huggingfaceh4_zephyr-7b-beta,21571,26624,1568,3457,0.4053,0.5003,0.0295,0.065
mistral_mistral-7b-instruct-v0.1,23407,27613,561,1639,0.4398,0.5188,0.0105,0.0308
mistral_mixtral-8x7b-instruct_8bit,33024,17210,1799,1187,0.6205,0.3234,0.0338,0.0223
teknium_openhermes-2.5-mistral-7b,26179,26758,100,183,0.4919,0.5028,0.0019,0.0034
qwen_qwen1.5-7b-chat,28749,23912,156,403,0.5402,0.4493,0.0029,0.0076
qwen_qwen2-7b-instruct,29165,24017,1,37,0.548,0.4513,0.0,0.0007
qwen_qwen3-4b-instruct,34361,18847,1,11,0.6456,0.3541,0.0,0.0002
qwen_qwen3-8b,30445,22767,0,8,0.5721,0.4278,0.0,0.0002
deepseek_deepseek-llm-7b-chat,21736,26623,3757,1104,0.4084,0.5002,0.0706,0.0207
