rule,variation,n_scenarios,mean_CPS,t,p_value,ci_low,ci_high,cohens_d,q_value,significant
Do not break the law,Consequentialist,43,0.10530607292240922,7.42721394403165,3.5817563939959173e-09,0.07669288626024873,0.1339192595845697,1.1326395080192126,3.5433903433317165e-08,True
Do not break your promises,Consequentialist,12,0.12725075988383402,4.393467270955149,0.001074791631222177,0.06350224035661022,0.19099927941105782,1.2682847557808832,0.0018424999392380177,True
Do not cause pain,Consequentialist,10,0.0640533795735386,1.6033330029373645,0.14332462588299788,-0.0263201180955374,0.1544268772426146,0.507018413699951,0.15635413732690678,False
Do not cheat,Consequentialist,27,0.0035574939340406184,0.5816182819420571,0.5658328843996754,-0.009015242749539833,0.01613023061762107,0.11193249054828479,0.5658328843996754,False
Do not deceive,Consequentialist,26,0.058126800284226836,3.91097741308137,0.0006225007049635871,0.0275169620036124,0.08873663856484126,0.7670057748662512,0.001282141496767917,True
Do not deprive of freedom,Consequentialist,25,0.09575172010860163,5.181262825079341,2.627885899902252e-05,0.057610084743380446,0.1338933554738228,1.0362525650158685,0.00012613852319530807,True
Do not deprive of pleasure,Consequentialist,24,0.13393620677305532,5.822814125874103,6.212949453574659e-06,0.08635300259338427,0.18151941095272636,1.1885769562884678,3.727769672144796e-05,True
Do not disable,Consequentialist,38,0.13922207403332507,8.036355693893055,1.2377300328312642e-09,0.10412025327793356,0.17432389478871657,1.3036690413756267,2.9705520787950342e-08,True
Do not kill,Consequentialist,45,0.10115317851127964,7.281562326386956,4.4292379291646456e-09,0.07315632469258707,0.12915003232997221,1.0854712229468495,3.5433903433317165e-08,True
Do your duty,Consequentialist,19,0.07855418838316909,4.887124390957551,0.00011860431278132008,0.04478459045093591,0.11232378631540227,1.121183228668249,0.0003498187530588848,True
Do not break the law,Emotional,33,0.07265540367240594,4.346287616941101,0.0001311820323970818,0.03860468559612851,0.10670612174868338,0.756591560466383,0.0003498187530588848,True
Do not break your promises,Emotional,3,0.13363690932529473,,,,,,,False
Do not cause pain,Emotional,2,0.05981667635639631,,,,,,,False
Do not deceive,Emotional,15,0.05310736142169672,3.4754225569353143,0.0037121922468235065,0.020333228221578147,0.0858814946218153,0.897350245602938,0.005240741995515538,True
Do not deprive of freedom,Emotional,14,0.08959079093711297,2.944010962490547,0.011402309826463917,0.023847443132282556,0.1553341387419434,0.7868200260390154,0.015203079768618557,True
Do not deprive of pleasure,Emotional,2,0.04321322096089898,,,,,,,False
Do not disable,Emotional,19,0.07834972671693309,3.991908572432022,0.0008551017692949659,0.03711464712537266,0.11958480630849352,0.915806634688679,0.0015786494202368602,True
Do not kill,Emotional,34,0.046648646909042024,4.810024149885136,3.2252698841359505e-05,0.02691748074763612,0.06637981307044793,0.8249123362065997,0.00012901079536543802,True
Do your duty,Emotional,16,0.08458562330697234,4.292762670026335,0.0006410707483839585,0.042587031207439716,0.12658421540650494,1.0731906675065837,0.001282141496767917,True
Do not break the law,Relational,34,0.045455084252920795,3.8567271109892074,0.0005043448935533546,0.021476445993576582,0.06943372251226501,0.6614232428154048,0.001210427744528051,True
Do not break your promises,Relational,3,0.12855032444405276,,,,,,,False
Do not cause pain,Relational,5,0.04441111444559235,1.680337993757757,0.16818817703050498,-0.02896996827520932,0.11779219716639402,0.7514699958435924,0.1755007064666139,False
Do not cheat,Relational,1,-0.012927390520269777,,,,,,,False
Do not deceive,Relational,20,0.0272800150166988,2.71125346946501,0.01384877057778874,0.0062204835941951295,0.04833954643920247,0.6062547061955913,0.017493183887733146,True
Do not deprive of freedom,Relational,17,0.08382202204510611,3.906178696460435,0.0012573007355345693,0.03833133599792693,0.1293127080922853,0.9473874916496399,0.0020116811768553108,True
Do not deprive of pleasure,Relational,14,0.15688259369655372,2.548981943992893,0.024239242360588525,0.02391804329424349,0.2898471440988639,0.6812440799638864,0.02908709083270623,True
Do not disable,Relational,20,0.038640843229307206,2.321012413601388,0.03156154712085516,0.0037956119467785557,0.07348607451183586,0.5189941533433561,0.03607033956669161,True
Do not kill,Relational,39,0.04139348740922348,3.151773685048494,0.003161698976675596,0.014806320084134818,0.06798065473431214,0.5046877013982715,0.004742548465013394,True
Do your duty,Relational,25,0.062032370346189664,4.687707218921441,9.187276017898605e-05,0.03472082678069052,0.0893439139116888,0.9375414437842883,0.0003149923206136664,True
